"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"65","1_Associate's College","Student Issues: Basic computing knowledge",3,5,60,176,0.0170454545454545,"Associates"
"66","2_Baccalaureate College","Student Issues: Basic computing knowledge",0,5,0,228,0,"Baccalaureate"
"67","3_Master's (Small, Medium, Large)","Student Issues: Basic computing knowledge",1,5,20,204,0.00490196078431373,"Masters"
"68","4_Doctoral University (High, Higher, Highest Research Activity)","Student Issues: Basic computing knowledge",1,5,20,358,0.00279329608938547,"Doctoral"
"69","1_Associate's College","Student Issues: Access to computers Off-campus",7,11,63.6363636363636,176,0.0397727272727273,"Associates"
"70","2_Baccalaureate College","Student Issues: Access to computers Off-campus",1,11,9.09090909090909,228,0.0043859649122807,"Baccalaureate"
"71","3_Master's (Small, Medium, Large)","Student Issues: Access to computers Off-campus",1,11,9.09090909090909,204,0.00490196078431373,"Masters"
"72","4_Doctoral University (High, Higher, Highest Research Activity)","Student Issues: Access to computers Off-campus",2,11,18.1818181818182,358,0.00558659217877095,"Doctoral"
"73","1_Associate's College","Student Issues: No interest in bioinformatics",0,0,NA,176,0,"Associates"
"74","2_Baccalaureate College","Student Issues: No interest in bioinformatics",0,0,NA,228,0,"Baccalaureate"
"75","3_Master's (Small, Medium, Large)","Student Issues: No interest in bioinformatics",0,0,NA,204,0,"Masters"
"76","4_Doctoral University (High, Higher, Highest Research Activity)","Student Issues: No interest in bioinformatics",0,0,NA,358,0,"Doctoral"
"77","1_Associate's College","Curriculum Issues: New program development required",1,4,25,176,0.00568181818181818,"Associates"
"78","2_Baccalaureate College","Curriculum Issues: New program development required",1,4,25,228,0.0043859649122807,"Baccalaureate"
"79","3_Master's (Small, Medium, Large)","Curriculum Issues: New program development required",0,4,0,204,0,"Masters"
"80","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: New program development required",2,4,50,358,0.00558659217877095,"Doctoral"
"81","1_Associate's College","Curriculum Issues: Class size",1,3,33.3333333333333,176,0.00568181818181818,"Associates"
"82","2_Baccalaureate College","Curriculum Issues: Class size",0,3,0,228,0,"Baccalaureate"
"83","3_Master's (Small, Medium, Large)","Curriculum Issues: Class size",1,3,33.3333333333333,204,0.00490196078431373,"Masters"
"84","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Class size",1,3,33.3333333333333,358,0.00279329608938547,"Doctoral"
"85","1_Associate's College","Curriculum Issues: Access to bioinformatics lesson plans",0,2,0,176,0,"Associates"
"86","2_Baccalaureate College","Curriculum Issues: Access to bioinformatics lesson plans",1,2,50,228,0.0043859649122807,"Baccalaureate"
"87","3_Master's (Small, Medium, Large)","Curriculum Issues: Access to bioinformatics lesson plans",0,2,0,204,0,"Masters"
"88","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Access to bioinformatics lesson plans",1,2,50,358,0.00279329608938547,"Doctoral"
