"","Var1","Var2","value","summed_score","percentage","proportion"
"69","Q38_scored_sub_Assoc.1.28.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",4,18,22.2222222222222,0.0227272727272727
"70","Q38_scored_sub_Bacca.1.28.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",4,18,22.2222222222222,0.0175438596491228
"71","Q38_scored_sub_Master.1.28.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",4,18,22.2222222222222,0.0196078431372549
"72","Q38_scored_sub_Doc.1.28.","Q38_Facilities.Issue..Access.to.Appropriate.Facilities..Equipment",6,18,33.3333333333333,0.0167597765363128
"73","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",10,19,52.6315789473684,0.0568181818181818
"74","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",1,19,5.26315789473684,0.0043859649122807
"75","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",2,19,10.5263157894737,0.00980392156862745
"76","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",6,19,31.5789473684211,0.0167597765363128
"77","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",6,28,21.4285714285714,0.0340909090909091
"78","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",5,28,17.8571428571429,0.0219298245614035
"79","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",7,28,25,0.0343137254901961
"80","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",10,28,35.7142857142857,0.0279329608938547
"81","Q38_scored_sub_Assoc.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",9,30,30,0.0511363636363636
"82","Q38_scored_sub_Bacca.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",10,30,33.3333333333333,0.043859649122807
"83","Q38_scored_sub_Master.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",4,30,13.3333333333333,0.0196078431372549
"84","Q38_scored_sub_Doc.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",7,30,23.3333333333333,0.0195530726256983
"85","Q38_scored_sub_Assoc.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",7,32,21.875,0.0397727272727273
"86","Q38_scored_sub_Bacca.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",9,32,28.125,0.0394736842105263
"87","Q38_scored_sub_Master.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",6,32,18.75,0.0294117647058824
"88","Q38_scored_sub_Doc.1.28.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",10,32,31.25,0.0279329608938547
"89","Q38_scored_sub_Assoc.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",9,38,23.6842105263158,0.0511363636363636
"90","Q38_scored_sub_Bacca.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",10,38,26.3157894736842,0.043859649122807
"91","Q38_scored_sub_Master.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",9,38,23.6842105263158,0.0441176470588235
"92","Q38_scored_sub_Doc.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",10,38,26.3157894736842,0.0279329608938547
"93","Q38_scored_sub_Assoc.1.28.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",18,45,40,0.102272727272727
"94","Q38_scored_sub_Bacca.1.28.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",4,45,8.88888888888889,0.0175438596491228
"95","Q38_scored_sub_Master.1.28.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",10,45,22.2222222222222,0.0490196078431373
"96","Q38_scored_sub_Doc.1.28.","Q38_Student.Issues...UG.Students.Lack.Approp.Background.Knowledge",13,45,28.8888888888889,0.0363128491620112
"97","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",19,49,38.7755102040816,0.107954545454545
"98","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",5,49,10.2040816326531,0.0219298245614035
"99","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",9,49,18.3673469387755,0.0441176470588235
"100","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",16,49,32.6530612244898,0.0446927374301676
"101","Q38_scored_sub_Assoc.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",26,100,26,0.147727272727273
"102","Q38_scored_sub_Bacca.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",31,100,31,0.135964912280702
"103","Q38_scored_sub_Master.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",18,100,18,0.0882352941176471
"104","Q38_scored_sub_Doc.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",25,100,25,0.0698324022346369
"105","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Time",32,127,25.1968503937008,0.181818181818182
"106","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Time",32,127,25.1968503937008,0.140350877192982
"107","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...Time",26,127,20.4724409448819,0.127450980392157
"108","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...Time",37,127,29.1338582677165,0.103351955307263
"109","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...No.Expertise..Training",34,160,21.25,0.193181818181818
"110","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...No.Expertise..Training",52,160,32.5,0.228070175438596
"111","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...No.Expertise..Training",41,160,25.625,0.200980392156863
"112","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...No.Expertise..Training",33,160,20.625,0.0921787709497207
