ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,517,309,189,149,36,9,4,221,112,61,37,28,16,9,9,6,1,110,40,37,19,17,10,9,5,2,71,60,13,18,18,19,3,2,1,,
ID,Please select the statement belOw that best describes yOu.,Please select the statement belOw that best describes yOur current teaching Of biOinfOrmatics cOn...,Sex,"Highest earned degree. If ""other,"" please explain.",Which of the following best describes your level of bioinformatics training?,What is the Carnegie classification of your institution?,Is your institution classified as minority-serving?,Region,Division,What is preventing yOu frOm including biOinfOrmatics cOntent in these cOurses?,Faculty Issues - General,Faculty Issue - No Expertise/ Training,Faculty Issue - Time,Faculty Issue - Does not know how to design curricula or incorporate with existing curriculum,Faculty Issue - Lack of Faculty interest at Institution,Faculty Issues - Faculty is new to current Dept,Curriculum Issues - General,Curriculum Issue - Course Load Full/ No time/space for Content,Curric Issues - Does not Fit into current Current Course Structure,Curriculum Issue - Time for Curriculum Development, Curric Issues - Lack of Curric Control/not in curent Curric.,Curric Issues - Bioinf. Taught in other courses at institution,Curric Issue - Class Size,Curric Issues - Plans to teach Bioinf. In the future (but not currently available),Curric Issue - Bioinfo Conent too Massive,Curric Issues - Content needs to be introduced in multiple courses,Resource Issues - General,Resources - Access to Quality Exercises/ Content,Resources - Access to developed Bioinf Lesson Plans/Bioinf Curric,Resources - Access to Approp Introductory Content,Resources - Unable to identify/access best current Bioinf material,Resource Issues - Funding,Resource Issues - Not available in course textbook,Resource Issues - Access to Quality Online Exerices/Conent,Resource Issues -TA's lack approp skils,Student Issues - General,Student Issues - UG Students Lack Approp Background Knowledge,Student Issues - Lack of interest in topic,Facilities Issues - General,Facilities Issue -Access to Appropriate Facilities/ Equipment,Inst/Dept. Support - General,Inst/Dept Issues - Institutional Inertia,State restrictions,Not accredited,,
294,1,4,1,4,3,3,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1,3,2,4,2,3,3,SO,5,Time constraints and duplication of information from a dedicated bioinformatics course.,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4
296,1,3,2,4,2,4,3,SO,6,time,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,#NULL!,#NULL!,3,4,4,4,1,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,1,3,3,4,8,4,1,SO,6,Departmental support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
299,1,2,1,4,3,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1,3,1,4,2,2,3,MW,3,"Students receive very few classes in my specialty to begin with, since our major covers all aspects of biology. As a result, I have very little time with the students. There are other topics that I feel are more important to cover, either because they arefoundational to my field or they are relevant to the MCAT.",1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,1,3,1,4,2,4,2,SO,5,Too much other material to present in a limited time.,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,1,1,2,4,2,3,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1,2,1,4,3,2,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,3,2,4,2,5,3,MW,3,"1) Have not developed curriculum.2) Student's limited math skills",1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
306,1,3,1,4,2,2,2,MW,3,There is just so much to include in an introductory biology course.  Something had to go.,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1,2,1,4,2,2,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,2,2,4,2,2,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1,3,1,4,8,5,2,SO,5,Not really excited about bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
311,1,1,1,4,2,2,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1,3,1,4,2,3,2,NE,2,our department has a hard time working together to come up with a coherent program,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
313,1,2,3,4,2,2,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,1,1,1,4,3,2,2,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,#NULL!,#NULL!,1,4,2,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1,3,1,4,8,4,1,MW,3,A combination of my lack of knowledge and the difficulty of finding a place to fit it into our course curricula,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,1,3,1,4,2,3,1,WE,9,personal familiarity,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2,3,1,4,8,1,2,WE,9,time to rewrite labs and assignments,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2,3,2,2,8,1,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1,2,1,4,2,2,2,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1,3,1,4,1,3,1,WE,8,"Frankly, my lack of experience and knowledge on the subject.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,1,3,1,4,8,5,1,SO,5,Time and resources,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
323,1,3,1,4,2,3,1,SO,5,The courses that I teach are mostly chemistry (organic chemistry) focused.,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1,3,1,2,2,2,2,MW,4,"time in the course, knowledge of the best resources, time to update instructions as quickly as the online resources change their interfaces",1,1,1,1,,,1,,,1,,,,,,,1,1,1,,1,,,1,,,,,,,,,,,,
325,1,3,1,4,3,4,3,NA,NA,"numbers of students, need to design good, interesting exercises (time-consuming!) and availability of knowledgeable grad student  for demonstrators",1,1,1,,,,1,,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,
326,1,4,1,4,1,3,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,any significant background in computers,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,2,2,4,3,3,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1,2,3,4,3,4,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,3,1,4,2,2,2,NE,2,course content and time constraint,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,1,3,2,4,1,3,2,NE,2,lack of knowledge in the area,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,2,3,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,1,3,1,4,2,4,1,SO,7,Limitations to my own knowledge/proficiency; limited computer lab availability;  lack of available off-the shelf teaching resources that I could use.,1,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,,,
335,1,3,2,4,2,4,1,SO,7,The current course that I am teaching does not focus on bioinformatics but I will teach such a course next semester.,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
336,1,2,2,4,3,2,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,3,2,4,2,3,3,SO,5,I teach an introductory course that is oriented toward ecology.  Students do not have the necessary background for bioinformatics and the topic does not fit with the official syllabus.,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
338,1,2,1,4,8,2,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,1,2,2,4,3,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1,4,1,4,1,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,2,2,4,2,4,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1,4,2,4,2,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1,2,3,4,2,4,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2,3,3,4,1,1,3,WE,8,"TimePlus, I agree that I don't have much experience in bioinformatics.",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2,3,1,4,1,5,2,WE,8,don't know enough about it myself,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,introductory courses are already too packed with basic content absolutely necessary to cover. Bioinformatics should be for upper division courses,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,1,4,1,4,2,4,2,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2,3,1,2,3,1,1,SO,5,Too much content in the course to teach material that is not on the syllabus,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,1,1,4,9,3,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1,2,1,4,3,2,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,1,2,1,4,3,2,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,1,1,2,4,8,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1,2,2,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,Insufficient background,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1,3,2,4,2,2,2,MW,3,I do not have a strong background in bioinformatics.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1,2,1,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1,1,2,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1,2,2,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,1,2,2,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1,2,1,4,3,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,1,4,2,4,1,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,1,3,2,4,2,2,1,NE,2,On campus resources and sufficient understanding/training in bioinformatics.,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,
363,1,1,1,4,8,2,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,1,3,2,2,3,4,2,MW,3,"Currently, I teach only lectures, no labs and bioinformatics should be incorporated into the lab curricula.",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1,1,2,4,9,5,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,1,3,2,4,3,3,1,WE,9,Insufficient experience with teaching bioinformatics and knowing the best way to incorporate bioinformatics. One course in genomics is under development.,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1,3,1,2,3,3,1,MW,3,We teach biology using a 1 semester system and this is not enough time. We would like the university to increase the credit fro 3 to 4 so that we can increase the time in class lecture. Budget cuts in the WIsconsin system are hingering this progress.,1,,1,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,
369,1,3,1,4,2,3,2,SO,5,"Lack of appropriate training for myself, resources of good exercises, time it requires in the class.",1,1,1,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
370,1,3,1,4,8,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,1,3,2,4,2,2,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,1,2,2,4,2,3,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,1,1,2,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,2,2,1,4,8,1,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1,3,2,4,2,2,1,MW,3,Finding room in an already packed line up of topics,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,2,2,4,3,3,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,1,2,2,4,3,4,3,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2,3,2,4,2,1,1,WE,8,I need to know how to use databases myself (i.e. can't teach what I don't understand,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1,2,1,4,2,2,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,1,2,2,4,2,2,3,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1,3,1,4,2,3,2,MW,4,This is not currently part of our departmental learning outcomes.,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
385,1,2,2,4,3,2,2,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,1,3,1,4,2,2,2,MW,4,"Student interest, lack of flexibility due to multiple instructors",1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
388,1,3,1,4,2,5,3,NE,2,I myself need a current refresher course,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1,2,2,4,2,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1,1,1,4,8,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1,4,2,4,2,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,1,3,2,4,2,2,2,NE,2,Time for overall content; desire to integrate bioinformatics content with existing content,1,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1,3,1,4,2,4,2,MW,3,Lack of awareness of resources to help my integrate bioinformatics effectively - e.g. modules or prepared active-learning exercises.,1,1,,1,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,
394,1,4,2,4,2,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1,1,2,4,3,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,1,2,1,4,2,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1,3,2,4,2,4,3,MW,3,"not enough computers in classneed more time to prepare lessons",1,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,,1,1,,,,,,
398,1,4,1,4,8,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,1,4,1,4,2,MW,3,"TO be honest, I can't say what it is.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1,3,1,2,3,4,2,MW,3,"My own lack of confidence with methods & techniques. I am not a molecular or computational biologist, so doing QPCR or high throughput sequencing is beyond my skillset. I do teach basics of molecular biology, we do PCR and cloning in lab, and I teach basi stats, but not the sophisticated material I'd consider to be bioinformatics.",1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,1,3,2,4,2,3,1,MW,3,I do not have background in this area and there is not much room for bioinformatics topics in the cell biology course that I teach.,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,#NULL!,#NULL!,1,2,1,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1,4,2,4,8,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,1,3,2,4,1,2,3,NE,2,"I would have to take something else out; I am not a molecular biologist or computer scientist;It's difficult to schedule courses in computer labs; I would prefer to teach it in conjunction withactual use of bioinformatic analysis of experimental/real ata;",1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1,3,2,4,8,3,2,MW,4,Not enough time.,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1,3,1,4,8,5,3,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1,2,1,4,3,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1,2,1,4,2,2,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1,4,2,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,1,3,1,4,2,5,3,MW,3,"Lack of resources for instruction, lack of instructors with knowledge, lack of time to incorporate additional information into course",1,1,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
413,1,3,2,4,2,2,2,MW,3,"not enough time in the semester, my lack of expertise in software",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,1,3,2,4,8,4,1,SO,6,"I am a new faculty, we don't have this kind of course yet and I need to develop one very soon!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,"Time, expertise",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,1,3,3,4,3,2,1,MW,3,"knowledge, time, lack of support from colleagues",1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
417,1,2,2,4,7,5,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,1,4,1,4,2,3,1,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1,3,1,4,3,2,2,MW,3,My lack of knowledge of what is available and applicable to my courses and my lack of experience/expertise with bioinformatics.,1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
420,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,1,3,1,4,2,2,1,SO,5,I don't have the background or I don't have access to simplified teaching modules.,1,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
423,1,2,1,4,2,3,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1,2,1,4,3,3,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1,2,1,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,#NULL!,#NULL!,1,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2,3,1,4,3,1,1,SO,7,students have very poor background for the courses and lots of time needs to be devoted to the fundamentals.,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
428,2,3,1,2,8,1,1,SO,7,Lack of time to develop a meaningful lesson,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
429,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,1,1,2,4,8,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2,3,2,4,3,1,3,WE,8,"Time, level of student preparation",1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
432,2,3,2,4,9,5,1,WE,8,I am a new faculty member and trying to figure out what is best to include.,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,#NULL!,#NULL!,3,4,2,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,1,3,1,4,3,3,2,MW,4,Not sure what projects would be appropriate and how to incorporate it into a class of 150.,1,1,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,
435,1,2,1,4,2,3,1,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2,2,2,4,9,1,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1,3,1,4,1,2,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2,2,2,4,3,1,3,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,1,3,1,4,2,4,3,NE,2,"My own lack of experience with bioinformatics, and lack of time to look for new information.",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2,3,2,2,3,1,1,WE,8,"My own lack of up-to-date knowledge. I also am not too familiar with resources available, although I am learning!",1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
441,2,2,1,4,3,1,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,2,3,1,4,2,1,1,WE,8,General biology I includes many other topics that need covering.,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,1,4,2,4,2,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,1,3,2,4,2,3,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1,4,1,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,1,3,1,4,9,4,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,1,3,1,4,8,2,2,NE,2,"The foundation courses which are taught freshman and sophomore year are difficult to overhaul to include bioinformatics due to the volume of material that has to be covered, especially in the freshman year.  The sophomore level courses do have bioinformatcs integrated into them but no more than one lab/one lecture.",1,,1,,,,1,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,7
448,1,3,1,4,2,4,2,SO,6,Current course content is full. Students have insufficient computer science background.,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
449,1,3,1,4,4,5,1,NE,2,May be knowing ways to integrate bioinformatics into the lectures and problem sets.,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,1,3,3,4,3,4,1,NE,2,"1.  Space and money2.  Lack of resources/ideas3.  Time",1,1,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,
451,1,1,1,4,8,5,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1,3,2,4,2,2,1,MW,4,Overload of current course responsibilities.,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,1,3,1,4,1,3,2,MW,4,"I mostly teach environmental sciences, ecology, and teaching methodologies.  I'm not sure it is appropriate in some of these classes.",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,2,2,3,2,1,1,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,1,3,2,4,3,2,3,NE,2,Lack of good tools to teach ecological and taxonomic bioinformatics.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
456,1,2,2,4,3,3,1,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1,3,2,4,2,4,3,MW,3,My own lack of expertise.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,#NULL!,#NULL!,2,4,8,4,1,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,1,2,2,4,2,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,1,2,2,4,2,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,1,4,2,4,2,4,1,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,1,2,2,4,2,2,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,1,4,2,4,9,3,3,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,1,4,2,4,2,3,2,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1,2,2,4,2,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1,2,2,4,3,5,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1,3,2,4,2,3,2,NE,2,time,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,1,4,1,4,2,3,1,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,1,1,1,4,7,3,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,1,3,1,4,1,3,1,NE,2,I don't have the expertise.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
