"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"77","Formal Training","Resource Issues: Access to bioinformatics lesson plans/curricula",0,4,0,249,0,"Formal_Training"
"78","No Training","Resource Issues: Access to bioinformatics lesson plans/curricula",1,4,25,103,0.00970873786407767,"No_Training"
"79","Self Taught","Resource Issues: Access to bioinformatics lesson plans/curricula",1,4,25,469,0.00213219616204691,"SelfDTaught"
"80","Workshops and Bootcamps","Resource Issues: Access to bioinformatics lesson plans/curricula",2,4,50,231,0.00865800865800866,"Workshops_and_Bootcamps"
"81","Formal Training","Facilities: Access to computer(s)/labs",1,19,5.26315789473684,249,0.00401606425702811,"Formal_Training"
"82","No Training","Facilities: Access to computer(s)/labs",1,19,5.26315789473684,103,0.00970873786407767,"No_Training"
"83","Self Taught","Facilities: Access to computer(s)/labs",8,19,42.1052631578947,469,0.0170575692963753,"SelfDTaught"
"84","Workshops and Bootcamps","Facilities: Access to computer(s)/labs",9,19,47.3684210526316,231,0.038961038961039,"Workshops_and_Bootcamps"
"85","Formal Training","Facilities: Servers",0,3,0,249,0,"Formal_Training"
"86","No Training","Facilities: Servers",0,3,0,103,0,"No_Training"
"87","Self Taught","Facilities: Servers",2,3,66.6666666666667,469,0.00426439232409382,"SelfDTaught"
"88","Workshops and Bootcamps","Facilities: Servers",1,3,33.3333333333333,231,0.00432900432900433,"Workshops_and_Bootcamps"
