"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"73","1_Dedicated course for life-science majors","Facilities: Access to equipment",0,18,0,132,0,"Dedicated.Course"
"74","2_Include 'substantial' bioinformatics in courses for life-science majors","Facilities: Access to equipment",0,18,0,263,0,"Integrating.Bioinformatics"
"75","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Facilities: Access to equipment",18,18,100,591,0.0304568527918782,"Not.Integrating.Bioinformatics"
"76","1_Dedicated course for life-science majors","Institutional: Inertia",0,3,0,132,0,"Dedicated.Course"
"77","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional: Inertia",0,3,0,263,0,"Integrating.Bioinformatics"
"78","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional: Inertia",3,3,100,591,0.0050761421319797,"Not.Integrating.Bioinformatics"
"79","1_Dedicated course for life-science majors","State Restrictions",0,2,0,132,0,"Dedicated.Course"
"80","2_Include 'substantial' bioinformatics in courses for life-science majors","State Restrictions",0,2,0,263,0,"Integrating.Bioinformatics"
"81","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","State Restrictions",2,2,100,591,0.00338409475465313,"Not.Integrating.Bioinformatics"
"82","1_Dedicated course for life-science majors","Accreditation",0,1,0,132,0,"Dedicated.Course"
"83","2_Include 'substantial' bioinformatics in courses for life-science majors","Accreditation",0,1,0,263,0,"Integrating.Bioinformatics"
"84","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Accreditation",1,1,100,591,0.00169204737732657,"Not.Integrating.Bioinformatics"
