"","Var1","Var2","value"
"87","scored_sub_Bacca.1.34.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"88","scored_sub_Master.1.34.","Q38_Resources...Access.to.Quality.Exercises..Content",9
"89","scored_sub_Doc.1.34.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"90","chiValues","Q38_Resources...Access.to.Quality.Exercises..Content",1
"91","scored_sub_Assoc.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",7
"92","scored_sub_Bacca.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",9
"93","scored_sub_Master.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",6
"94","scored_sub_Doc.1.34.","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",10
"95","chiValues","Q38_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",0.776111944027986
"96","scored_sub_Assoc.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",8
"97","scored_sub_Bacca.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",1
"98","scored_sub_Master.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",2
"99","scored_sub_Doc.1.34.","Q38_Resources...Access.to.Approp.Introductory.Content",2
"100","chiValues","Q38_Resources...Access.to.Approp.Introductory.Content",0.0309845077461269
"101","scored_sub_Assoc.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",5
"102","scored_sub_Bacca.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",5
"103","scored_sub_Master.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",4
"104","scored_sub_Doc.1.34.","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",2
"105","chiValues","Q38_Resources...Unable.to.identify.access.best.current.Bioinf.material",0.779110444777611
"106","scored_sub_Assoc.1.34.","Q38_Resource.Issues...Funding",3
"107","scored_sub_Bacca.1.34.","Q38_Resource.Issues...Funding",1
"108","scored_sub_Master.1.34.","Q38_Resource.Issues...Funding",1
"109","scored_sub_Doc.1.34.","Q38_Resource.Issues...Funding",3
"110","chiValues","Q38_Resource.Issues...Funding",0.675162418790605
"111","scored_sub_Assoc.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",4
"112","scored_sub_Bacca.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",1
"113","scored_sub_Master.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",1
"114","scored_sub_Doc.1.34.","Q38_Resource.Issues...Not.available.in.course.textbook",3
"115","chiValues","Q38_Resource.Issues...Not.available.in.course.textbook",0.482758620689655
"116","scored_sub_Assoc.1.34.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",1
