"","Var1","Var2","value","summed_score","percentage","proportion"
"79","Q33_scored_sub_Master.1.24.","Q33_Facutly...Time",12,82,14.6341463414634,0.0588235294117647
"80","Q33_scored_sub_Doc.1.24.","Q33_Facutly...Time",33,82,40.2439024390244,0.0921787709497207
"81","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",11,83,13.2530120481928,0.0625
"82","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",17,83,20.4819277108434,0.0745614035087719
"83","Q33_scored_sub_Master.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",20,83,24.0963855421687,0.0980392156862745
"84","Q33_scored_sub_Doc.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",35,83,42.1686746987952,0.0977653631284916
"85","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",13,95,13.6842105263158,0.0738636363636364
"86","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",19,95,20,0.0833333333333333
"87","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",32,95,33.6842105263158,0.156862745098039
"88","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",31,95,32.6315789473684,0.0865921787709497
"89","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",24,186,12.9032258064516,0.136363636363636
"90","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",37,186,19.8924731182796,0.162280701754386
"91","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",38,186,20.4301075268817,0.186274509803922
"92","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",87,186,46.7741935483871,0.243016759776536
"93","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...No.Expertise.Training",57,272,20.9558823529412,0.323863636363636
"94","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...No.Expertise.Training",85,272,31.25,0.37280701754386
"95","Q33_scored_sub_Master.1.24.","Q33_Faculty...No.Expertise.Training",62,272,22.7941176470588,0.303921568627451
"96","Q33_scored_sub_Doc.1.24.","Q33_Faculty...No.Expertise.Training",68,272,25,0.189944134078212
